generics,dosage_strengths,indications,instructions,warnings,_class_key
Simethicone,125 mg,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone",simethicone
ไซเมทิโคน,125 mg,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone",ไซเมทิโคน
Simethicone,125 milligram,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone",simethicone
ไซเมทิโคน,125 milligram,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone",ไซเมทิโคน
Simethicone,125 มก.,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone",simethicone
ไซเมทิโคน,125 มก.,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone",ไซเมทิโคน
Simethicone,125 มิลลิกรัม,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone",simethicone
ไซเมทิโคน,125 มิลลิกรัม,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone",ไซเมทิโคน
Simethicone,125,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone",simethicone
ไซเมทิโคน,125,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone",ไซเมทิโคน
Naproxen,250 mg,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen
นาพรอกเซน,250 mg ,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน
Naproxen Sodium,275 mg,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen sodium
นาพรอกเซน โซเดียม,275 mg,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน โซเดียม
Naproxen,250 milligram,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen
นาพรอกเซน,250 milligram,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน
Naproxen Sodium,275 milligram,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen sodium
นาพรอกเซน โซเดียม,275 milligram,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน โซเดียม
Naproxen,250 มก.,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen
นาพรอกเซน,250 มก. ,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน
Naproxen Sodium,275 มก.,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen sodium
นาพรอกเซน โซเดียม,275 มก.,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน โซเดียม
Naproxen,250 มิลลิกรัม,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen
นาพรอกเซน,250 มิลลิกรัม,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน
Naproxen Sodium,275 มิลลิกรัม,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen sodium
นาพรอกเซน โซเดียม,275 มิลลิกรัม,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน โซเดียม
Naproxen,250,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen
นาพรอกเซน,250,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน
Naproxen Sodium,275,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen sodium
นาพรอกเซน โซเดียม,275,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน โซเดียม
Naproxen,500 mg,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen
นาพรอกเซน,500 mg,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน
Naproxen,500 milligram,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen
นาพรอกเซน,500 milligram,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน
Naproxen,500 มก.,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen
นาพรอกเซน,500 มก.,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน
Naproxen,500 มิลลิกรัม,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen
นาพรอกเซน, 500 มิลลิกรัม,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน
Naproxen,500,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",naproxen
นาพรอกเซน,500,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ",นาพรอกเซน
Allopurinol,300 mg,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง,allopurinol
อัลโลพูรินอล,300 mg,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง,อัลโลพูรินอล
Allopurinol,300 milligram,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง,allopurinol
อัลโลพูรินอล,300 milligram,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง,อัลโลพูรินอล
Allopurinol,300 มก.,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง,allopurinol
อัลโลพูรินอล,300 มก.,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง,อัลโลพูรินอล
Allopurinol,300 มิลลิกรัม,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง,allopurinol
อัลโลพูรินอล,300 มิลลิกรัม,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง,อัลโลพูรินอล
