generics,dosage_strengths,indications,instructions,warnings
พาราเซตามอล,125 มก.,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",เด็ก (อิงตามน้ำหนักตัว) : 10 - 15 mg./น้ำหนักตัว (กก.) : ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,125 มิลลิกรัม,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",เด็ก (อิงตามน้ำหนักตัว) : 10 - 15 mg./น้ำหนักตัว (กก.) : ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,125 มิลลิกรัม,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",เด็ก (อิงตามน้ำหนักตัว) : 10 - 15 mg./น้ำหนักตัว (กก.) : ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,125,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",เด็ก (อิงตามน้ำหนักตัว) : 10 - 15 mg./น้ำหนักตัว (กก.) : ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,125,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",เด็ก (อิงตามน้ำหนักตัว) : 10 - 15 mg./น้ำหนักตัว (กก.) : ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,325 mg,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,325 mg,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,325 milligram,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,325 milligram,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,325 มก.,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,325 มก.,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,325 มิลลิกรัม,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,325 มิลลิกรัม,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,325,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,325,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,500 mg,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,500 mg,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,500 milligram,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,500 milligram,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,500 มก.,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,500 มก.,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,500 มิลลิกรัม,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,500 มิลลิกรัม,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,500,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,500,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง",ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง,"อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,650 mg,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง","ผู้ใหญ่ 18 ปีขึ้นไป, น้ำหนัก 44 กก. ขึ้นไป : 2 เม็ด ทุก 8 ชั่วโมง","อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,650 mg,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง","ผู้ใหญ่ 18 ปีขึ้นไป, น้ำหนัก 44 กก. ขึ้นไป : 2 เม็ด ทุก 8 ชั่วโมง","อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,650 milligram,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง","ผู้ใหญ่ 18 ปีขึ้นไป, น้ำหนัก 44 กก. ขึ้นไป : 2 เม็ด ทุก 8 ชั่วโมง","อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,650 milligram,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง","ผู้ใหญ่ 18 ปีขึ้นไป, น้ำหนัก 44 กก. ขึ้นไป : 2 เม็ด ทุก 8 ชั่วโมง","อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,650 มก.,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง","ผู้ใหญ่ 18 ปีขึ้นไป, น้ำหนัก 44 กก. ขึ้นไป : 2 เม็ด ทุก 8 ชั่วโมง","อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,650 มก.,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง","ผู้ใหญ่ 18 ปีขึ้นไป, น้ำหนัก 44 กก. ขึ้นไป : 2 เม็ด ทุก 8 ชั่วโมง","อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,650 มิลลิกรัม,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง","ผู้ใหญ่ 18 ปีขึ้นไป, น้ำหนัก 44 กก. ขึ้นไป : 2 เม็ด ทุก 8 ชั่วโมง","อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,650 มิลลิกรัม,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง","ผู้ใหญ่ 18 ปีขึ้นไป, น้ำหนัก 44 กก. ขึ้นไป : 2 เม็ด ทุก 8 ชั่วโมง","อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Paracetamol,650,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง","ผู้ใหญ่ 18 ปีขึ้นไป, น้ำหนัก 44 กก. ขึ้นไป : 2 เม็ด ทุก 8 ชั่วโมง","อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
พาราเซตามอล,650,"ลดไข้, บรรเทาอาการปวดเล็กน้อยถึงปานกลาง","ผู้ใหญ่ 18 ปีขึ้นไป, น้ำหนัก 44 กก. ขึ้นไป : 2 เม็ด ทุก 8 ชั่วโมง","อันตรายต่อตับ (Liver Damage): ห้ามใช้ยาเกินขนาดที่แนะนำ, ผู้ที่มีปัญหาตับ, ไต"
Simethicone,30 mg,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ทารก < 2 ปี (หรือเป็นส่วนผสม) : 240 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,30 mg,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ทารก < 2 ปี (หรือเป็นส่วนผสม) : 240 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,30 milligram,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ทารก < 2 ปี (หรือเป็นส่วนผสม) : 240 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,30 milligram,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ทารก < 2 ปี (หรือเป็นส่วนผสม) : 240 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,30 มก.,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ทารก < 2 ปี (หรือเป็นส่วนผสม) : 240 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,30 มก.,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ทารก < 2 ปี (หรือเป็นส่วนผสม) : 240 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,30 มิลลิกรัม,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ทารก < 2 ปี (หรือเป็นส่วนผสม) : 240 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,30 มิลลิกรัม,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ทารก < 2 ปี (หรือเป็นส่วนผสม) : 240 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,30,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ทารก < 2 ปี (หรือเป็นส่วนผสม) : 240 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,30,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ทารก < 2 ปี (หรือเป็นส่วนผสม) : 240 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,80 mg,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,80 mg,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,80 milligram,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,80 milligram,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,80 มก.,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,80 มก.,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,80 มิลลิกรัม,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,80 มิลลิกรัม,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,80,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,80,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,125 mg,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,125 mg,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,125 milligram,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
ไซเมทิโคน,125 milligram,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
Simethicone,125 มก.,บรรเทาอาการที่เกี่ยวข้องกับการมีแก๊สมากเกินไปในทางเดินอาหาร เช่น ท้องอืด (Bloating) แน่นท้อง (Fullness) ปวดท้อง (Pressure) อาการปวดเกร็งจากแก๊ส (Flatulence),ผู้ใหญ่/วัยรุ่น 12 ปีขึ้นไป : 1-2 เม็ด ทุก 4-6 ชั่วโมง 1-2 เม็ด ไม่เกิน 500 mg./วัน,"ควรทาน Simethicone ห่างจากยาไทรอยด์อย่างน้อย 4 ชั่วโมง, ห้ามใช้ในผู้ที่มี ประวัติแพ้ Simethicone"
